Compañía;País;Tipo;Ramo;Subramo;Moneda local; USD ;Año;Tasa de Cambio;AFILIADO
CHUBB;México;Primas;Cascos;;116.188.000;6.217.385;2016;18,6876;AFILIADO
CHUBB;México;Siniestros;Carga;;75.021.000;4.014.480;2016;18,6876;AFILIADO
CHUBB;México;Siniestros;Cascos;;3.347.000;179.103;2016;18,6876;AFILIADO
CHUBB;México;Primas;Carga;;172.498.662;10.880.330;2015;15,85417589;AFILIADO
CHUBB;México;Primas;Cascos;;1.417.066;89.381;2015;15,85417589;AFILIADO
CHUBB;México;Siniestros;Carga;;115.924.301;7.311.910;2015;15,85417589;AFILIADO
CHUBB;México;Siniestros;Cascos;;198.278;12.506;2015;15,85417589;AFILIADO
CHUBB;México;Primas;Carga;;140.610.000;10.569.654;2014;13,30317968;AFILIADO
CHUBB;México;Primas;Cascos;;1.139.000;85.619;2014;13,30317968;AFILIADO
CHUBB;México;Siniestros;Carga;;97.388.000;7.320.656;2014;13,30317968;AFILIADO
CHUBB;México;Siniestros;Cascos;;5.000;376;2014;13,30317968;AFILIADO
CHUBB;México;Primas;Carga;;137.003.000;10.733.862;2013;12,7636263;AFILIADO
CHUBB;México;Primas;Carga;;10.752.195;842.409;2013;12,7636263;AFILIADO
CHUBB;México;Primas;Cascos;;2.224.000;174.245;2013;12,7636263;AFILIADO
CHUBB;México;Primas;Cascos;;174.543;13.675;2013;12,7636263;AFILIADO
CHUBB;México;Primas;RC;;2.123.000;166.332;2013;12,7636263;AFILIADO
CHUBB;México;Primas;RC;;166.616;13.054;2013;12,7636263;AFILIADO
CHUBB;México;Siniestros;Carga;;64.753.000;5.073.245;2013;12,7636263;AFILIADO
CHUBB;México;Siniestros;Carga;;5.081.910;398.156;2013;12,7636263;AFILIADO
CHUBB;México;Siniestros;Cascos;;4.000;313;2013;12,7636263;AFILIADO
CHUBB;México;Siniestros;Cascos;;314;25;2013;12,7636263;AFILIADO
CHUBB;México;Siniestros;RC;;3.000;235;2013;12,7636263;AFILIADO
CHUBB;México;Siniestros;RC;;235;18;2013;12,7636263;AFILIADO
CHUBB;México;Primas;Carga;;121.779.000;9.205.342;2012;13,22916667;AFILIADO
CHUBB;México;Primas;Carga;;9.205.342;695.837;2012;13,22916667;AFILIADO
CHUBB;México;Primas;Cascos;;5.765.000;435.780;2012;13,22916667;AFILIADO
CHUBB;México;Primas;Cascos;;435.780;32.941;2012;13,22916667;AFILIADO
CHUBB;México;Primas;RC;;3.002.000;226.923;2012;13,22916667;AFILIADO
CHUBB;México;Primas;RC;;226.923;17.153;2012;13,22916667;AFILIADO
CHUBB;México;Siniestros;Carga;;70.546.000;5.332.611;2012;13,22916667;AFILIADO
CHUBB;México;Siniestros;Carga;;5.332.611;403.095;2012;13,22916667;AFILIADO
CHUBB;México;Siniestros;Cascos;;620.000;46.866;2012;13,22916667;AFILIADO
CHUBB;México;Siniestros;Cascos;;46.866;3.543;2012;13,22916667;AFILIADO
CHUBB;México;Siniestros;RC;;3.000;227;2012;13,22916667;AFILIADO
CHUBB;México;Siniestros;RC;;227;17;2012;13,22916667;AFILIADO
CHUBB;México;Primas;Carga;;117.036.000;9.415.607;2011;12,43;AFILIADO
CHUBB;México;Primas;Carga;;9.415.607;757.491;2011;12,43;AFILIADO
CHUBB;México;Primas;Cascos;;5.270.000;423.974;2011;12,43;AFILIADO
CHUBB;México;Primas;Cascos;;423.974;34.109;2011;12,43;AFILIADO
CHUBB;México;Primas;RC;;3.264.000;262.591;2011;12,43;AFILIADO
CHUBB;México;Primas;RC;;262.591;21.126;2011;12,43;AFILIADO
CHUBB;México;Siniestros;Carga;;86.090.000;6.925.986;2011;12,43;AFILIADO
CHUBB;México;Siniestros;Carga;;6.925.986;557.199;2011;12,43;AFILIADO
FAIRFAX;Brasil;Primas;Carga;Nacional;24.258.736;7.580.855;2017;3,2;AFILIADO
FAIRFAX;Brasil;Primas;Carga;Internacional;10.154.057;3.173.143;2017;3,2;AFILIADO
FAIRFAX;Brasil;Primas;Cascos;Cascos Marítimos;8.287.158;2.589.737;2017;3,2;AFILIADO
FAIRFAX;Brasil;Primas;RC;Terrestre;12.751.685;3.984.902;2017;3,2;AFILIADO
FAIRFAX;Brasil;Primas;RC;Desvios;5.089.569;1.590.490;2017;3,2;AFILIADO
FAIRFAX;Brasil;Primas;RC;Aerea;345.240;107.888;2017;3,2;AFILIADO
FAIRFAX;Brasil;Primas;RC;Maritima;78.688;24.590;2017;3,2;AFILIADO
FAIRFAX;Brasil;Primas;RC;Ferrea;0;0;2017;3,2;AFILIADO
FAIRFAX;Brasil;Primas;Riesgos Petroleros;;11.329.861;3.540.582;2017;3,2;AFILIADO
