Compañía;País;Tipo;Ramo;Subramo;Moneda local; USD ;Año;Tasa de Cambio;AFILIADO
ALLIANZ;Argentina;Primas;Carga;Mercadería;7.513.668.640;8.207.445;2024;915,4699;AFILIADO
ATLANTIDA;Honduras;Primas;Carga;Transporte Marítimo;1.251.780;50.351;2024;24,8611;NO AFILIADOS
ASSEKURANSA;Argentina;Primas;Carga;Mercadería;3.573.458.362;3.903.414;2024;915,4699;AFILIADO
ABA;México;Primas;Carga;;233.033.000;12.469.927;2016;18,6876;NO AFILIADOS
ABA;México;Primas;Cascos;;233.033.000;12.469.927;2016;18,6876;NO AFILIADOS
ABA;México;Siniestros;Carga;;47.974.000;2.567.157;2016;18,6876;NO AFILIADOS
ABA;México;Siniestros;Cascos;;6.426.000;343.864;2016;18,6876;NO AFILIADOS
ABA;México;Primas;Carga;;181.568.371;11.452.400;2015;15,85417589;NO AFILIADOS
ABA;México;Primas;Cascos;;18.731.002;1.181.455;2015;15,85417589;NO AFILIADOS
ABA;México;Siniestros;Carga;;50.410.199;3.179.616;2015;15,85417589;NO AFILIADOS
ABA;México;Siniestros;Cascos;;4.950.369;312.244;2015;15,85417589;NO AFILIADOS
ABA;México;Primas;Carga;;159.902.000;12.019.833;2014;13,30317968;NO AFILIADOS
ABA;México;Primas;Cascos;;16.023.000;1.204.449;2014;13,30317968;NO AFILIADOS
ABA;México;Siniestros;Carga;;30.556.000;2.296.894;2014;13,30317968;NO AFILIADOS
ABA;México;Siniestros;Cascos;;11.023.000;828.599;2014;13,30317968;NO AFILIADOS
HANSEATICA;Argentina;Primas;Carga;Mercadería;11.936.708.379;13.038.887;2024;915,4699;AFILIADO
ABA;México;Primas;Carga;;154.005.000;12.065.928;2013;12,7636263;NO AFILIADOS
HOLANDO SUDAMERICANA;Argentina;Primas;Carga;Mercadería;3.185.887.313;3.480.057;2024;915,4699;AFILIADO
ABA;México;Primas;Carga;;12.086.537;946.952;2013;12,7636263;NO AFILIADOS
ABA;México;Primas;Cascos;;15.704.000;1.230.371;2013;12,7636263;NO AFILIADOS
ABA;México;Primas;Cascos;;1.232.473;96.561;2013;12,7636263;NO AFILIADOS
ABA;México;Siniestros;Carga;;27.056.000;2.119.774;2013;12,7636263;NO AFILIADOS
ABA;México;Siniestros;Carga;;2.123.394;166.363;2013;12,7636263;NO AFILIADOS
ABA;México;Siniestros;Cascos;;3.412.000;267.322;2013;12,7636263;NO AFILIADOS
MERIDIONAL;Argentina;Primas;Carga;Mercadería;5.842.949.874;6.382.460;2024;915,4699;AFILIADO
ABA;México;Siniestros;Cascos;;267.779;20.980;2013;12,7636263;NO AFILIADOS
NACION;Argentina;Primas;Carga;Mercadería;5.878.331.552;6.421.108;2024;915,4699;AFILIADO
ABA;México;Primas;Carga;;164.278.000;12.417.865;2012;13,22916667;NO AFILIADOS
ABA;México;Primas;Carga;;12.417.865;938.673;2012;13,22916667;NO AFILIADOS
ABA;México;Primas;Cascos;;15.720.000;1.188.283;2012;13,22916667;NO AFILIADOS
ABA;México;Primas;Cascos;;1.188.283;89.823;2012;13,22916667;NO AFILIADOS
ABA;México;Siniestros;Carga;;44.696.000;3.378.595;2012;13,22916667;NO AFILIADOS
ABA;México;Siniestros;Carga;;3.378.595;255.390;2012;13,22916667;NO AFILIADOS
ABA;México;Siniestros;Cascos;;6.685.000;505.323;2012;13,22916667;NO AFILIADOS
ABA;México;Siniestros;Cascos;;505.323;38.198;2012;13,22916667;NO AFILIADOS
ABA;México;Primas;Carga;;160.587.000;12.919.308;2011;12,43;NO AFILIADOS
ABA;México;Primas;Carga;;12.919.308;1.039.365;2011;12,43;NO AFILIADOS
ABA;México;Primas;Cascos;;14.340.000;1.153.660;2011;12,43;NO AFILIADOS
ABA;México;Primas;Cascos;;1.153.660;92.813;2011;12,43;NO AFILIADOS
ABA;México;Primas;RC;;0;0;2011;12,43;NO AFILIADOS
SANCOR;Argentina;Primas;Carga;Mercadería;9.559.046.978;10.441.684;2024;915,4699;AFILIADO
ABA;México;Primas;RC;;0;0;2011;12,43;NO AFILIADOS
ABA;México;Siniestros;Carga;;40.623.000;3.268.142;2011;12,43;NO AFILIADOS
ABA;México;Siniestros;Carga;;3.268.142;262.924;2011;12,43;NO AFILIADOS
ABA;México;Siniestros;Cascos;;14.382.000;1.157.039;2011;12,43;NO AFILIADOS
ABA;México;Siniestros;Cascos;;1.157.039;93.084;2011;12,43;NO AFILIADOS
ABA;México;Siniestros;RC;;-17.699;-1.424;2011;12,43;NO AFILIADOS
ABA;México;Siniestros;RC;;-220.000;-17.699;2011;12,43;NO AFILIADOS
ABA;México;Primas;Carga;;151.174.000;11.956.027;2010;12,64416667;NO AFILIADOS
ZURICH;Argentina;Primas;Carga;Mercadería;5.092.447.703;5.562.660;2024;915,4699;AFILIADO
ZURICH ASEGURADORA ;Argentina;Primas;Carga;Mercadería;15.950.905.296;17.423.735;2024;915,4699;AFILIADO
ALLIANZ;Argentina;Primas;Cascos;;566.587.011;618.903;2024;915,4699;AFILIADO
ABA;México;Primas;Carga;;11.956.027;945.577;2010;12,64416667;NO AFILIADOS
ABA;México;Primas;Cascos;;13.152.000;1.040.163;2010;12,64416667;NO AFILIADOS
ABA;México;Primas;Cascos;;1.040.163;82.264;2010;12,64416667;NO AFILIADOS
ABA;México;Primas;RC;;0;0;2010;12,64416667;NO AFILIADOS
ABA;México;Primas;RC;;0;0;2010;12,64416667;NO AFILIADOS
ABA;México;Siniestros;Carga;;60.698.000;4.800.475;2010;12,64416667;NO AFILIADOS
ABA;México;Siniestros;Carga;;4.800.475;379.659;2010;12,64416667;NO AFILIADOS
ABA;México;Siniestros;Cascos;;2.460.000;194.556;2010;12,64416667;NO AFILIADOS
ABA;México;Siniestros;Cascos;;194.556;15.387;2010;12,64416667;NO AFILIADOS
HANSEATICA;Argentina;Primas;Cascos;;78.103.355;85.315;2024;915,4699;AFILIADO
ABA;México;Siniestros;RC;;3.000;237;2010;12,64416667;NO AFILIADOS
HOLANDO SUDAMERICANA;Argentina;Primas;Cascos;;9.246.401.460;10.100.170;2024;915,4699;AFILIADO
ABA;México;Siniestros;RC;;237;19;2010;12,64416667;NO AFILIADOS
ACE;Argentina;Primas;Carga;;83.456.660;5.650.914;2016;14,7687;NO AFILIADOS
ACE;Argentina;Siniestros;Carga;;7.977.073;540.134;2016;14,7687;NO AFILIADOS
ACE;Argentina;Primas;Carga;;55.776.899;6.017.315;2015;9,2694;NO AFILIADOS
ACE;Argentina;Siniestros;Carga;;15.559.279;1.678.564;2015;9,2694;NO AFILIADOS
ACE;Argentina;Primas;Carga;;37.699.035;4.644.247;2014;8,117363014;NO AFILIADOS
MERIDIONAL;Argentina;Primas;Cascos;;3.764.851.588;4.112.480;2024;915,4699;AFILIADO
NACION;Argentina;Primas;Cascos;;1.974.284.183;2.156.580;2024;915,4699;AFILIADO
ACE;Argentina;Siniestros;Carga;;7.300.132;899.323;2014;8,117363014;NO AFILIADOS
ACE;Argentina;Primas;Carga;;34.375.697;6.275.137;2013;5,478079178;NO AFILIADOS
ACE;Argentina;Siniestros;Carga;;3.259.852;595.072;2013;5,478079178;NO AFILIADOS
ACE;Argentina;Primas;Carga;;22.420.961;4.926.079;2012;4,551481818;NO AFILIADOS
ACE;Argentina;Siniestros;Carga;;2.251.813;494.743;2012;4,551481818;NO AFILIADOS
ACE;Argentina;Primas;Carga;;81.476.442;19.726.871;2011;4,130226423;NO AFILIADOS
ACE;Argentina;Siniestros;Carga;;12.755.164;3.088.248;2011;4,130226423;NO AFILIADOS
ACE;Argentina;Primas;Carga;;15.133.700;3.867.855;2010;3,912685772;NO AFILIADOS
ACE;Argentina;Primas;Cascos;;3.763.773;961.941;2010;3,912685772;NO AFILIADOS
ACE;Argentina;Siniestros;Carga;;3.597.627;919.478;2010;3,912685772;NO AFILIADOS
ACE;Brasil;Primas;Carga;Internacional;41.631.282;12.669.288;2015;3,286;NO AFILIADOS
SANCOR;Argentina;Primas;Cascos;;3.571.721.748;3.901.517;2024;915,4699;AFILIADO
ACE;Brasil;Primas;Carga;Nacional;36.161.238;11.004.637;2015;3,286;NO AFILIADOS
ACE;Brasil;Primas;Carga;Nacional;35.193.217;10.710.048;2015;3,286;NO AFILIADOS
ACE;Brasil;Primas;Carga;Internacional;24.955.110;7.594.373;2015;3,286;NO AFILIADOS
ACE;Brasil;Primas;Cascos;;38.046.285;11.578.297;2015;3,286;NO AFILIADOS
ACE;Brasil;Primas;RC;Operador portuario;61.166.519;18.614.278;2015;3,286;NO AFILIADOS
ZURICH;Argentina;Primas;Cascos;;85.337;93;2024;915,4699;AFILIADO
ZURICH ASEGURADORA ;Argentina;Primas;Cascos;;55.833.778;60.989;2024;915,4699;AFILIADO
ALLIANZ;Argentina;Siniestros;Carga;Mercadería;1.334.622.147;1.457.855;2024;915,4699;AFILIADO
ACE;Brasil;Primas;RC;Terrestre nacional;52.266.414;15.905.786;2015;3,286;NO AFILIADOS
ASSEKURANSA;Argentina;Siniestros;Carga;Mercadería;501.447.220;547.748;2024;915,4699;AFILIADO
ACE;Brasil;Primas;RC;Terrestre nacional;47.929.145;14.585.863;2015;3,286;NO AFILIADOS
ACE;Brasil;Primas;RC;Todos;37.033.437;11.270.066;2015;3,286;NO AFILIADOS
ACE;Brasil;Primas;RC;Todos;32.060.142;9.756.586;2015;3,286;NO AFILIADOS
ACE;Brasil;Primas;RC;Terrestre Internacional;3.937.938;1.198.399;2015;3,286;NO AFILIADOS
ACE;Brasil;Primas;RC;Férrea Internacional;3.937.938;1.198.399;2015;3,286;NO AFILIADOS
ACE;Brasil;Primas;RC;Aérea Nacional;3.698.851;1.125.639;2015;3,286;NO AFILIADOS
ACE;Brasil;Primas;RC;Aérea Nacional;1.829.056;556.621;2015;3,286;NO AFILIADOS
ACE;Brasil;Primas;RC;Terrestre Internacional;1.485.887;452.187;2015;3,286;NO AFILIADOS
ACE;Brasil;Primas;RC;Férrea Internacional;1.485.887;452.187;2015;3,286;NO AFILIADOS
ACE;Brasil;Primas;RC;Marítima;1.293.809;393.734;2015;3,286;NO AFILIADOS
ACE;Brasil;Primas;RC;P&I;393.876;119.865;2015;3,286;NO AFILIADOS
ACE;Brasil;Primas;Riesgos Portuarios;;141.405.716;43.032.780;2015;3,286;NO AFILIADOS
ACE;Brasil;Siniestros;Carga;Nacional;38.631.344;11.756.343;2015;3,286;NO AFILIADOS
HANSEATICA;Argentina;Siniestros;Carga;Mercadería;2.511.324.241;2.743.208;2024;915,4699;AFILIADO
ACE;Brasil;Siniestros;Carga;Nacional;31.574.754;9.608.872;2015;3,286;NO AFILIADOS
HOLANDO SUDAMERICANA;Argentina;Siniestros;Carga;Mercadería;686.814.365;750.232;2024;915,4699;AFILIADO
ACE;Brasil;Siniestros;Carga;Internacional;28.490.994;8.670.418;2015;3,286;NO AFILIADOS
ACE;Brasil;Siniestros;Carga;Internacional;19.377.471;5.896.978;2015;3,286;NO AFILIADOS
ACE;Brasil;Siniestros;Cascos;;21.698.604;6.603.349;2015;3,286;NO AFILIADOS
ACE;Brasil;Siniestros;RC;Todos;32.587.817;9.917.169;2015;3,286;NO AFILIADOS
ACE;Brasil;Siniestros;RC;Terrestre nacional;30.562.936;9.300.954;2015;3,286;NO AFILIADOS
ACE;Brasil;Siniestros;RC;Todos;25.177.969;7.662.194;2015;3,286;NO AFILIADOS
MERIDIONAL;Argentina;Siniestros;Carga;Mercadería;-244.549.791;-267.130;2024;915,4699;AFILIADO
ACE;Brasil;Siniestros;RC;Terrestre nacional;21.153.273;6.437.393;2015;3,286;NO AFILIADOS
NACION;Argentina;Siniestros;Carga;Mercadería;-1.227.398.333;-1.340.730;2024;915,4699;AFILIADO
ACE;Brasil;Siniestros;RC;Operador portuario;16.192.483;4.927.719;2015;3,286;NO AFILIADOS
ACE;Brasil;Siniestros;RC;Aérea Nacional;4.900.608;1.491.360;2015;3,286;NO AFILIADOS
ACE;Brasil;Siniestros;RC;Terrestre internacional;4.900.608;1.491.360;2015;3,286;NO AFILIADOS
ACE;Brasil;Siniestros;RC;Férrea Internacional;4.900.608;1.491.360;2015;3,286;NO AFILIADOS
ACE;Brasil;Siniestros;RC;Marítima;4.796.437;1.459.658;2015;3,286;NO AFILIADOS
ACE;Brasil;Siniestros;RC;Aérea Nacional;3.203.726;974.962;2015;3,286;NO AFILIADOS
ACE;Brasil;Siniestros;RC;Terrestre internacional;3.203.726;974.962;2015;3,286;NO AFILIADOS
ACE;Brasil;Siniestros;RC;Férrea Internacional;3.203.726;974.962;2015;3,286;NO AFILIADOS
ACE;Brasil;Siniestros;RC;P&I;-38.700;-11.777;2015;3,286;NO AFILIADOS
ACE;Brasil;Siniestros;Riesgos Portuarios;;61.209.068;18.627.227;2015;3,286;NO AFILIADOS
ACE;Brasil;Primas;Carga;Nacional;52.507.651;22.305.688;2014;2,35400274;NO AFILIADOS
ACE;Brasil;Primas;Carga;Internacional;23.599.251;10.025.159;2014;2,35400274;NO AFILIADOS
SANCOR;Argentina;Siniestros;Carga;Mercadería;2.439.551.365;2.664.808;2024;915,4699;AFILIADO
ACE;Brasil;Primas;Carga;Internacional;18.319.075;7.782.096;2014;2,35400274;NO AFILIADOS
ACE;Brasil;Primas;Carga;Nacional;17.763.933;7.546.267;2014;2,35400274;NO AFILIADOS
ACE;Brasil;Primas;Cascos;;2.263.018;961.349;2014;2,35400274;NO AFILIADOS
ACE;Brasil;Primas;RC;;52.374.266;22.249.025;2014;2,35400274;NO AFILIADOS
ACE;Brasil;Primas;RC;;42.517.723;18.061.883;2014;2,35400274;NO AFILIADOS
ACE;Brasil;Primas;RC;;446.014;189.470;2014;2,35400274;NO AFILIADOS
ACE;Brasil;Primas;RC;;404.432;171.806;2014;2,35400274;NO AFILIADOS
ACE;Brasil;Primas;RC;;4.949;2.102;2014;2,35400274;NO AFILIADOS
ZURICH;Argentina;Siniestros;Carga;Mercadería;493.741.486;539.331;2024;915,4699;AFILIADO
ZURICH ASEGURADORA ;Argentina;Siniestros;Carga;Mercadería;1.336.364.714;1.459.758;2024;915,4699;AFILIADO
ALLIANZ;Argentina;Siniestros;Cascos;;109.719.128;119.850;2024;915,4699;AFILIADO
ACE;Brasil;Primas;RC;;4.402;1.870;2014;2,35400274;NO AFILIADOS
ACE;Brasil;Primas;RC;;982;417;2014;2,35400274;NO AFILIADOS
ACE;Brasil;Siniestros;Carga;Nacional;55.858.098;23.728.986;2014;2,35400274;NO AFILIADOS
ACE;Brasil;Siniestros;Carga;Nacional;42.079.600;17.875.765;2014;2,35400274;NO AFILIADOS
ACE;Brasil;Siniestros;Cascos;;14.535.404;6.174.761;2014;2,35400274;NO AFILIADOS
ACE;Brasil;Siniestros;RC;;36.141.070;15.353.028;2014;2,35400274;NO AFILIADOS
ACE;Brasil;Siniestros;RC;;29.953.901;12.724.667;2014;2,35400274;NO AFILIADOS
ACE;Brasil;Siniestros;RC;;1.045.230;444.022;2014;2,35400274;NO AFILIADOS
ACE;Brasil;Siniestros;RC;;717.248;304.693;2014;2,35400274;NO AFILIADOS
ACE;Brasil;Siniestros;RC;;243.421;103.407;2014;2,35400274;NO AFILIADOS
HANSEATICA;Argentina;Siniestros;Cascos;;53.073.272;57.974;2024;915,4699;AFILIADO
ACE;Brasil;Siniestros;RC;;-205;-87;2014;2,35400274;NO AFILIADOS
HOLANDO SUDAMERICANA;Argentina;Siniestros;Cascos;;2.837.017.560;3.098.974;2024;915,4699;AFILIADO
ACE;Brasil;Primas;Carga;;72.980.563;33.786.125;2013;2,160074995;NO AFILIADOS
ACE;Brasil;Primas;Carga;;69.678.332;32.257.367;2013;2,160074995;NO AFILIADOS
ACE;Brasil;Primas;Carga;;48.877.264;22.627.577;2013;2,160074995;NO AFILIADOS
ACE;Brasil;Primas;Carga;;1.927.056;892.125;2013;2,160074995;NO AFILIADOS
ACE;Brasil;Primas;Carga;;-29.291;-13.560;2013;2,160074995;NO AFILIADOS
ACE;Brasil;Siniestros;Carga;;83.368.331;38.595.110;2013;2,160074995;NO AFILIADOS
MERIDIONAL;Argentina;Siniestros;Cascos;;524.293.935;572.705;2024;915,4699;AFILIADO
NACION;Argentina;Siniestros;Cascos;;12.884.175;14.074;2024;915,4699;AFILIADO
ACE;Brasil;Siniestros;Carga;;57.127.277;26.446.895;2013;2,160074995;NO AFILIADOS
ACE;Brasil;Siniestros;Carga;;19.940.404;9.231.348;2013;2,160074995;NO AFILIADOS
ACE;Brasil;Siniestros;Carga;;951.022;440.273;2013;2,160074995;NO AFILIADOS
ACE;Brasil;Primas;Carga;;99.199.939;50.756.631;2012;1,954423246;NO AFILIADOS
ACE;Brasil;Primas;Carga;;74.951.493;38.349.673;2012;1,954423246;NO AFILIADOS
ACE;Brasil;Primas;Carga;;50.385.982;25.780.487;2012;1,954423246;NO AFILIADOS
ACE;Brasil;Primas;Carga;;3.003.470;1.536.755;2012;1,954423246;NO AFILIADOS
ACE;Brasil;Primas;Carga;;249.427;127.622;2012;1,954423246;NO AFILIADOS
ACE;Brasil;Primas;Carga;;101.403;51.884;2012;1,954423246;NO AFILIADOS
ACE;Brasil;Siniestros;Carga;;71.280.930;36.471.593;2012;1,954423246;NO AFILIADOS
SANCOR;Argentina;Siniestros;Cascos;;1.241.275.972;1.355.889;2024;915,4699;AFILIADO
ACE;Brasil;Siniestros;Carga;;59.148.091;30.263.706;2012;1,954423246;NO AFILIADOS
ACE;Brasil;Siniestros;Carga;;21.974.953;11.243.702;2012;1,954423246;NO AFILIADOS
ACE;Brasil;Siniestros;Carga;;625.816;320.205;2012;1,954423246;NO AFILIADOS
ACE;Brasil;Siniestros;Carga;;165.661;84.762;2012;1,954423246;NO AFILIADOS
ACE;Brasil;Siniestros;Cascos;;45.162;23.108;2012;1,954423246;NO AFILIADOS
ZURICH;Argentina;Siniestros;Cascos;;-400.533;-438;2024;915,4699;AFILIADO
ZURICH ASEGURADORA ;Argentina;Siniestros;Cascos;;1.566.474;1.711;2024;915,4699;AFILIADO
ALLIANZ;Argentina;Primas;Carga;;2.428.906.561;8.206.345;2023;295,9791;AFILIADO
ACE;Brasil;Primas;Carga;;61.668.492;36.833.772;2011;1,674237746;NO AFILIADOS
ASSEKURANSA;Argentina;Primas;Carga;;1.354.485.397;4.576.287;2023;295,9791;AFILIADO
ACE;Brasil;Primas;Carga;;60.395.419;36.073.383;2011;1,674237746;NO AFILIADOS
ACE;Brasil;Primas;Carga;;41.346.266;24.695.576;2011;1,674237746;NO AFILIADOS
ACE;Brasil;Primas;Carga;;2.429.598;1.451.167;2011;1,674237746;NO AFILIADOS
ACE;Brasil;Primas;Carga;;270.448;161.535;2011;1,674237746;NO AFILIADOS
ACE;Brasil;Siniestros;Carga;;48.373.363;28.892.768;2011;1,674237746;NO AFILIADOS
ACE;Brasil;Siniestros;Carga;;32.287.284;19.284.766;2011;1,674237746;NO AFILIADOS
ACE;Brasil;Siniestros;Carga;;12.475.340;7.451.355;2011;1,674237746;NO AFILIADOS
ACE;Brasil;Siniestros;Carga;;1.765.700;1.054.629;2011;1,674237746;NO AFILIADOS
ACE;Brasil;Siniestros;Carga;;1.755;1.049;2011;1,674237746;NO AFILIADOS
ACE;Brasil;Primas;Carga;;68.984.400;39.175.925;2010;1,760887585;NO AFILIADOS
ACE;Brasil;Primas;Carga;;38.121.186;21.648.847;2010;1,760887585;NO AFILIADOS
ACE;Brasil;Primas;Carga;;34.172.407;19.406.354;2010;1,760887585;NO AFILIADOS
HANSEATICA;Argentina;Primas;Carga;;4.949.141.127;16.721.252;2023;295,9791;AFILIADO
ACE;Brasil;Primas;Carga;;5.588.928;3.173.927;2010;1,760887585;NO AFILIADOS
HOLANDO SUDAMERICANA;Argentina;Primas;Carga;;1.214.758.713;4.104.204;2023;295,9791;AFILIADO
ACE;Brasil;Primas;Carga;;20.324;11.542;2010;1,760887585;NO AFILIADOS
ACE;Brasil;Siniestros;Carga;;44.306.186;25.161.280;2010;1,760887585;NO AFILIADOS
ACE;Brasil;Siniestros;Carga;;18.471.392;10.489.819;2010;1,760887585;NO AFILIADOS
ACE;Brasil;Siniestros;Carga;;8.964.520;5.090.910;2010;1,760887585;NO AFILIADOS
ACE;Brasil;Siniestros;Carga;;2.828.658;1.606.382;2010;1,760887585;NO AFILIADOS
ACE;Chile;Primas;Carga;Terrestre;5.435.615.739;8.083.902;2016;672,4;NO AFILIADOS
MERIDIONAL;Argentina;Primas;Carga;;2.714.961.721;9.172.816;2023;295,9791;AFILIADO
ACE;Chile;Primas;Carga;Marítima;5.080.739.809;7.556.127;2016;672,4;NO AFILIADOS
NACION;Argentina;Primas;Carga;;2.098.680.956;7.090.639;2023;295,9791;AFILIADO
ACE;Chile;Primas;Carga;Aérea;332.406.168;494.358;2016;672,4;NO AFILIADOS
ACE;Chile;Siniestros;Carga;Aérea;2.297.891.153;3.417.447;2016;672,4;NO AFILIADOS
ACE;Chile;Siniestros;Carga;Terrestre;1.787.804.677;2.658.841;2016;672,4;NO AFILIADOS
ACE;Chile;Siniestros;Carga;Marítima;95.127.938;141.475;2016;672,4;NO AFILIADOS
ACE;Chile;Primas;Carga;Marítima;5.309.934.176;8.116.175;2015;654,240992;NO AFILIADOS
ACE;Chile;Primas;Carga;Terrestre;4.835.061.435;7.390.337;2015;654,240992;NO AFILIADOS
ACE;Chile;Primas;Carga;Aérea;464.124.113;709.408;2015;654,240992;NO AFILIADOS
ACE;Chile;Siniestros;Carga;Marítima;4.212.031.328;6.438.043;2015;654,240992;NO AFILIADOS
ACE;Chile;Siniestros;Carga;Terrestre;1.441.436.251;2.203.219;2015;654,240992;NO AFILIADOS
ACE;Chile;Siniestros;Carga;Aérea;190.931.744;291.837;2015;654,240992;NO AFILIADOS
ACE;Chile;Siniestros;Carga;Marítima;29.918;44;2015;672,4;NO AFILIADOS
ACE;Chile;Siniestros;Carga;Terrestre;24.121;36;2015;672,4;NO AFILIADOS
ACE;Chile;Siniestros;Carga;Aérea;18.223;27;2015;672,4;NO AFILIADOS
SANCOR;Argentina;Primas;Carga;;3.470.309.108;11.724.845;2023;295,9791;AFILIADO
ACE;Chile;Primas;Carga;Marítima;5.309.934.176;8.116.175;2014;654,240992;NO AFILIADOS
ACE;Chile;Primas;Carga;Terrestre;3.408.402.990;5.975.890;2014;570,3590685;NO AFILIADOS
ACE;Chile;Primas;Carga;Aérea;464.124.113;709.408;2014;654,240992;NO AFILIADOS
ACE;Chile;Siniestros;Carga;Marítima;1.877.263.375;3.291.371;2014;570,3590685;NO AFILIADOS
ACE;Chile;Siniestros;Carga;Terrestre;876.727.285;1.537.150;2014;570,3590685;NO AFILIADOS
ACE;Chile;Siniestros;Carga;Aérea;155.428.434;272.510;2014;570,3590685;NO AFILIADOS
ACE;Chile;Primas;Carga;;8.287.008.569;16.729.111;2013;495,3645616;NO AFILIADOS
ACE;Chile;Siniestros;Carga;;3.430.982.193;6.926.176;2013;495,3645616;NO AFILIADOS
ZURICH;Argentina;Primas;Carga;;8.162.667.010;27.578.525;2023;295,9791;AFILIADO
ALLIANZ;Argentina;Primas;Cascos;;701.739.058;2.370.907;2023;295,9791;AFILIADO
ACE;Chile;Siniestros;Cascos;;0;0;2013;495,3645616;NO AFILIADOS
ACE;Chile;Primas;Carga;;7.970.077.814;16.388.550;2012;486,3198907;NO AFILIADOS
ACE;Chile;Siniestros;Carga;;3.819.451.354;7.853.784;2012;486,3198907;NO AFILIADOS
ACE;Chile;Primas;Carga;;6.275.649.160;12.983.058;2011;483,3721918;NO AFILIADOS
ACE;Chile;Primas;Cascos;;992.773;2.054;2011;483,3721918;NO AFILIADOS
ACE;Chile;Siniestros;Carga;;2.056.845.729;4.255.201;2011;483,3721918;NO AFILIADOS
ACE;Chile;Primas;Carga;;5.922.163.645;11.611.086;2010;510,0439041;NO AFILIADOS
ACE;Chile;Siniestros;Carga;;4.002.796.507;7.847.945;2010;510,0439041;NO AFILIADOS
ACE;Colombia;Primas;Carga;;0;0;2016;3051,81;NO AFILIADOS
ACE;Colombia;Siniestros;Carga;;0;0;2016;3051,81;NO AFILIADOS
HANSEATICA;Argentina;Primas;Cascos;;-19.621.262;-66.293;2023;295,9791;AFILIADO
ACE;Colombia;Primas;Carga;;15.192.530.000;5.537.874;2015;2743,38674;NO AFILIADOS
HOLANDO SUDAMERICANA;Argentina;Primas;Cascos;;3.139.056.901;10.605.671;2023;295,9791;AFILIADO
ACE;Colombia;Siniestros;Carga;;8.454.640.000;3.081.826;2015;2743,38674;NO AFILIADOS
ACE;Colombia;Primas;Carga;;15.371.470.000;7.686.995;2014;1999,672055;NO AFILIADOS
ACE;Colombia;Siniestros;Carga;;6.497.120.000;3.249.093;2014;1999,672055;NO AFILIADOS
ACE;Colombia;Primas;Carga;;13.941.531.000;7.461.033;2013;1868,579233;NO AFILIADOS
ACE;Colombia;Siniestros;Carga;;4.736.463.188;2.534.794;2013;1868,579233;NO AFILIADOS
ACE;Colombia;Primas;Carga;;13.927.995.063;7.749.496;2012;1797,277568;NO AFILIADOS
MERIDIONAL;Argentina;Primas;Cascos;;1.260.258.034;4.257.929;2023;295,9791;AFILIADO
NACION;Argentina;Primas;Cascos;;791.168.504;2.673.055;2023;295,9791;AFILIADO
ACE;Colombia;Siniestros;Carga;;4.164.106.060;2.316.896;2012;1797,277568;NO AFILIADOS
ACE;Colombia;Primas;Carga;;13.641.084.137;7.387.510;2011;1846,506466;NO AFILIADOS
ACE;Colombia;Siniestros;Carga;;5.650.926.610;3.060.334;2011;1846,506466;NO AFILIADOS
ACE;Colombia;Primas;Carga;;10.904.628.078;5.744.409;2010;1898,303014;NO AFILIADOS
ACE;Ecuador;Primas;Carga;;15.816.035;15.816.035;2014;1;NO AFILIADOS
ACE;Ecuador;Primas;Cascos;;19.403;19.403;2014;1;NO AFILIADOS
ACE;Ecuador;Siniestros;Carga;;3.553.601;3.553.601;2014;1;NO AFILIADOS
ACE;Ecuador;Siniestros;Cascos;;2.166;2.166;2014;1;NO AFILIADOS
ACE;Ecuador;Primas;Carga;;16.153.286;16.153.286;2013;1;NO AFILIADOS
ACE;Ecuador;Primas;Cascos;;36.602;36.602;2013;1;NO AFILIADOS
SANCOR;Argentina;Primas;Cascos;;1.270.767.514;4.293.437;2023;295,9791;AFILIADO
ACE;Ecuador;Siniestros;Carga;;4.891.653;4.891.653;2013;1;NO AFILIADOS
ACE;Ecuador;Siniestros;Cascos;;30.310;30.310;2013;1;NO AFILIADOS
ACE;Ecuador;Primas;Carga;;11.022.000;11.022.000;2012;1;NO AFILIADOS
ACE;Ecuador;Primas;Cascos;;185.000;185.000;2012;1;NO AFILIADOS
ACE;Ecuador;Siniestros;Carga;;6.445.000;6.445.000;2012;1;NO AFILIADOS
ZURICH;Argentina;Primas;Cascos;;17.726.237;59.890;2023;295,9791;AFILIADO
ALLIANZ;Argentina;Siniestros;Carga;;1.308.300.388;4.420.246;2023;295,9791;AFILIADO
ACE;Ecuador;Siniestros;Cascos;;545.000;545.000;2012;1;NO AFILIADOS
ASSEKURANSA;Argentina;Siniestros;Carga;;243.102.000;821.349;2023;295,9791;AFILIADO
ACE;Ecuador;Primas;Carga;;8.501.000;8.501.000;2011;1;NO AFILIADOS
ACE;Ecuador;Primas;Cascos;;0;0;2011;1;NO AFILIADOS
ACE;Ecuador;Siniestros;Carga;;4.206.000;4.206.000;2011;1;NO AFILIADOS
ACE;Ecuador;Siniestros;Cascos;;0;0;2011;1;NO AFILIADOS
ACE;Ecuador;Primas;Carga;;7.130.000;7.130.000;2010;1;NO AFILIADOS
ACE;Ecuador;Primas;Cascos;;5.000;5.000;2010;1;NO AFILIADOS
ACE;Ecuador;Siniestros;Carga;;3.930.000;3.930.000;2010;1;NO AFILIADOS
